,question,category,answer,choices/0,choices/1,choices/2,choices/3
804,Which of these countries was not part of the Warsaw Pact of 1955 ?,history,Yugoslavia,Romania,Czechoslovakia,Poland,Yugoslavia
805,"What was the name of the political liberalization in Czechoslovakia, which started on January 5 and lasted until August 20, 1968?",history,Prague Spring,Prague Autumn,Prague Summer,Prague Winter,Prague Spring
807,Which one of these countries was not one of the Allies during WW II?,history,Italy,France,Poland,United Kingdom,Italy
808,WW II broke out in 1939 with the German invasion of Poland. What month did this invasion take place?,history,September,March,September,December,February
809,"The North African Campaign, also known as The Desert War, began in 1940. It included campaigns fought in several African countries. Which of the following was not one of the locations of the North African Campaign?",history,South Africa,Algeria,South Africa,Egypt,Libya
810,"Operation Barbarossa, which began on June 22, 1941, was the code name of the German invasion of which country?",history,the Soviet Union,Denmark,the Netherlands,Luxembourg,the Soviet Union
811,What does the German word Blitzkrieg mean?,history,lightning war,holy war,lightning war,patriotic war,speed war
812,When did the United States enter World War II?,history,1941,1942,1940,1943,1941
813,"In 1945, Churchill, Stalin and Roosevelt made arrangements for post-war Europe. Where did the conference take place?",history,Yalta,Versailles,Hawaii,Yalta,Warsaw
814,"On 6 August 1945 the B-29 Enolo Gay, piloted by Colonel Paul Tibet, dropped an atomic bomb on Hiroshima, effectively destroying it. What was that bomb called?",history,Little Boy,August Storm,Flying Tiger,Little Boy,Torch
815,What term is generally used to describe the genocide of approximately six million European Jews during World War II?,history,the Holocaust,Einsatzgruppen,the Holocaust,the Enigma,Death-camp
816,"According to statistics, approximately how many people lost their lives in World War II?",history,62 million,52 million,42 million,72 million,62 million
817,One of the months of the year is named after this man.,history,Julius Caesar,Neither,Both,Alexander the Great,Julius Caesar
818,This man became the leader of his country at the age of 20.,history,Alexander the Great,Julius Caesar,Neither,Alexander the Great,Both
819,"This man is famous for the quote, I came, I saw, I conquered.",history,Julius Caesar,Neither,Julius Caesar,Alexander the Great,Both
820,This man conquered modern day Afghanistan and modern day France.,history,Neither,Julius Caesar,Both,Alexander the Great,Neither
821,"This man won battles in Greece, Africa, and the Middle East.",history,Both,Alexander the Great,Neither,Both,Julius Caesar
822,This man invaded modern day Great Britain.,history,Julius Caesar,Julius Caesar,Alexander the Great,Neither,Both
823,This mans name is linked to a common medical procedure.,history,Julius Caesar,Neither,Julius Caesar,Both,Alexander the Great
824,This mans biological son became famous after his death.,history,Neither,Both,Julius Caesar,Neither,Alexander the Great
825,This man visited the other mans tomb.,history,Julius Caesar,Alexander the Great,Neither,Both,Julius Caesar
826,This man was portrayed by British actor Rex Harrison in the1963 movie Cleopatra.,history,Julius Caesar,Alexander the Great,Both,Julius Caesar,Neither
827,What warrior king and his 300 Spartans held back the Persian army for two days in one of historys most heroic last stands?,history,Leonidas,Odysseus,Achilles,Leonidas,Xerxes
828,What Chinese warrior and strategist wrote The Art of War?,history,Sun Tzu,Sun Bin,Sun Tzu,Mao Zedong,Genghis Khan
829,"It was in a dream before the Battle of Milvian Bridge that a vision of God appeared to this Roman warrior. The vision was followed by the words In this sign shall thou conquer.  What leader, after having a Christian monograph painted on the shields of his army, defeated Maxentius and reunited the Eastern and Western Roman Empire?",history,Constantine the Great,Constantine the Great,Marcus Aurelius,Alexander the Great,Emperor Licinius
830,What Soviet General and Hero of the Soviet Union led the Red Army during the Battle of Stalingrad and the Battle of Kursk?,history,Marshal Georgy Zhukov,Vasliy Blyukher,Field Marshall Von Manstein,Walther Model,Marshal Georgy Zhukov
831,"One of historys most daring and able naval commanders, this admiral signaled his fleet at the Battle of Trafalgar by a flag that read England expects that every man will do his duty . What naval commander gave the supreme sacrifice at the Battle of Trafalgar while defeating the navies of the French and Spanish?",history,Horatio Nelson,Horatio Nelson,"Arthur Wellesley, Duke of Wellington",John Paul Jones,James Wolfe
832,He was the bravest and strongest Greek warrior in the Trojan War. He died when Apollo helped guide Pariss arrow to this warrior only vulnerable spot?,history,Achilles,Patroclus,Agamemnon,Hector,Achilles
833,"Stormd at with shot and shell,
Boldly they rode and well,
Into the jaws of Death,
Into the mouth of Hell
Rode the six hundred.
The verse is taken from Alfred, Lord Tennysons The Charge of the Light Brigade. The poem
also referenced Some one had blunderd. What commander sent the six hundred  to fight 12,000 Russians?",history,Lord Cardigan,Lord Harlech,Major Richard Ormsby Gore,Captain Jenyns,Lord Cardigan
834,"Perhaps the greatest  warrior-king in Roman history, what warrior summed up his victory in these three words, Veni, Vidi, Vici. ?",history,Julius Caesar,Julius Caesar,Mark Anthony,Marcus Aurelius,Octavian
835,"The US, Britain and Germany were the main belligerents at Normandy during WWII, but three other nations had troops there who fought in their own organized national units. Which of the following was NOT one of those three nations?",history,Japan,Canada,Poland,Japan,France
836,Mulberry was the code name for two artificial harbors built in sections and towed across the English Channel to provide a place for supplies to be landed at Normandy for the invading troops. They were very useful at first but their usefulness was greatly reduced after about two weeks when the following occurred.,history,A violent storm heavily damaged the Mulberries.,The Allies captured the port at Brest and no longer needed the Mulberries.,A violent storm heavily damaged the Mulberries.,The wear and tear of constant use made the Mulberries deteriorate greatly.,The German air force successfully staged a massive bombing raid on the Mulberries.
837,"To aid the Normandy invasion Stalin, the Soviet leader, agreed to do the following.",history,Launch an attack on the eastern front to keep the Germans from moving troops from the East to the western front,Have his air force carry out numerous air attacks on targets in Germany during the Normandy invasion,Send Soviet troops to Britain to act as a reserve if needed,Launch an attack on the eastern front to keep the Germans from moving troops from the East to the western front,Release all prisoners from East European nations who wished to join the Allies at Normandy
838,"During WWII, American troops assaulted two beaches at Normandy. Three other beaches with code names Gold, Sword and Juno were assaulted by troops who mostly came from these two nations.",history,Britain and Canada,France and Poland,Britain and France,Britain and Canada,Britain and Australia
839,Which American Indian tribe was predominantly located in North Georgia?,history,Cherokee,Iroquois,Creek,Cherokee,Seminal
840,Which U.S. state saw the bloodiest fighting of the Civil War?,history,Virginia,Georgia,Tennessee,Virginia,Maryland
841,"From 1847 to 1923, there were eight U. S. Presidents hailing from this state.",history,Ohio,Virginia,Ohio,New York,Maryland
843,Which German-American physicist is credited for advising U.S. President Franklin Roosevelt to start the development of an atomic bomb?,history,Albert Einstein,Albert Einstein,Benjamin Franklin,Osborne Reynolds,William Gilbert
845,What U.S. President gave a speech beginning with the phrase Four score and seven years ago?,history,Abraham Lincoln,Ronald Reagan,Theodore Roosevelt,George Washington,Abraham Lincoln
846,Which of these is one of the reasons why the United States entered World War I?,history,Germany tried to persuade Mexico to enter the war.,Mexico attacked the United States.,France lost the war.,Germany tried to persuade Mexico to enter the war.,Germany asked the United States.
847,Under whose administration did the United States send large numbers of troops to Vietnam?,history,Lyndon Johnson,John Kennedy,Richard Nixon,Gerald Ford,Lyndon Johnson
848,"In 221 BC Zheng of the Qin Dynasty defeated the last independent Chinese state, the State of Qi, and thus unified China. The same year he named himself Shi Huangdi, which means this.",history,First Emperor,The Conqueror,Mightiest One,First Emperor,The Unifier
849,"The name of the first capital of the Empire, near which the tomb of the first Chinese emperor- Qin Shi Huang had been built.",history,Xianyang,Xianyang,Changan,Sui,Shaanxi
851,This Silk Road  dynasty succeeded the Qin Dynasty.,history,Han Dynasty,Zhou Dynasty,Ming Dynasty,Sui Dynasty,Han Dynasty
852,"On 18 June 618, Gaozu took the throne, established the Tang Dynasty and opened a new age of prosperity. During the Tang Dynasty, this religion became predominant in China.",history,Buddhism,Christianity,Hinduism,Islam,Buddhism
854,The Yuan Dynasty was the first foreign dynasty to rule over all of China. It was officially established by this Mongolian ruler in 1271 and ruled over China until 1368.,history,Kublai Khan,Kublai Khan,Batu Khan,Genghis Khan,Ogedei Khan
855,The Ming Dynasty established the Forbidden City in Beijing. Do you know what ming means in Chinese?,history,bright,bright,cruel,conqueror,builder
856,"The Forbidden City, lying at the center of Beijing, was the imperial palace during the Ming and Qing Dynasties. Yellow was the symbol of the royal family so the roofs, the decorations and even the bricks on the ground in the Forbidden city are yellow. But there is one exception- the roof of the royal library. What color is it?",history,black,blue,black,white,red
857,"The Qing Dynasty was the last  imperial dynasty of China. As a result of the 1911 revolution, a new Republic of China was established  and this is what happened to the last Chinese emperor, Hsuan Tung.",history,He abdicated,He was exiled,He abdicated,He was assassinated,He fled to England
858,"Ulysses S. Grants wife, Julia Dent Grant, had a cousin who was a CSA General. What was his name?",history,James Longstreet,Braxton Bragg,James Longstreet,Nathan Bedford Forrest,P.G.T. Beauregard
859,Who gave the sermon at President Lincolns funeral?,history,Dr. Phineas D. Gurley,Rev. J.C. Harrison,Bishop Cavenaugh,Dr. Phineas D. Gurley,Dr. John W. Cunningham
861,How long did the Battle of Gettysburg last?,history,3 days,3 days,2 days,7 days,4 days
862,How many civilians were killed in the Battle of Gettysburg?,history,1,3,1,2,4
863,What state has the most soldiers buried at the Gettysburg National Cemetery?,history,New York,Michigan,Pennsylvania,New York,Massachusetts
864,"Steve Bochco had many successes on TV. However, this 1990 ABC police drama, that also featured the cast breaking out in song, was a failure.",history,Cop Rock,Cop Rock,City Cop,Cop Song,A Policemans Day
865,"This 2003 movie won seven Razzies. It had an all-star cast that included Al Pacino, Lainie Kazan, Christopher Walken and a very hot couple. What is the name of this flop directed and written by Martin Brest?",history,Gigli,Gigli,Shanghai Express,Town and Country,Shanghai Surprise
866,In 1985 New Coke was introduced. For many reasons it  was a great flop and the company went back to regular coke. How was New Coke different from regular coke?,history,It was sweeter.,It was sweeter.,It had more lime and less lemon.,It had more caffeine.,"It was enriched with vitamins A,C, and D."
867,"Gary Marshall has had many big hits on TV and in the movies. However, in 1972 he directed and produced this big flop.",history,Me and the Chimp,Convoy,Me and the Chimp,Hey Landlord,The Psycho Private
868,"This Broadway show with a book and lyrics by Ira Levin opened in 1965 after 11 previews and much rewriting. It starred Lesley Ann warren, Elliot Gould, Beth Howland, and Charles Durning. What was the name of this Victorian melodrama?",history,Drat! The Cat!,Sweeny Todd,Day In Day Out,The Adventures of Pluto Nash,Drat! The Cat!
869,"It was a 1995 movie about a female pirate, played by Geena Davis, who races other pirates to find hidden  gold. It starred Frank Langella, Mathew Modine, Maury Chaykin and Stan Shaw.",history,Cutthroat Island,Skull Island,Cutthroat Island,Pirate Survivors,Pirate Wars
870,"It could not miss. It was directed by the great Elaine May. It featured Charles Grodin, Isabelle Adjani, Tess Harper, Carol Kane, Jack Weston, and, oh yes, Dustin Hoffman and Warren Beatty. It was a total flop. What was the name of this comedy?",history,Ishtar,Shanghai Surprise,Big Town,Playing the Hilton,Ishtar
871,"This movie was begun in 1998 but released in 2001. Its big all-star cast included Warren Beatty,  Diane Keaton, Charlton Heston, Gary Shandling, Andie MacDowell, Goldie Hawn and Jenna Elfman. It was  designed to be a simple romantic comedy about making lifes big  decisions. It is now considered to be one of the biggest movie flops.",history,Town and Country,The Postman,Ishtar,Heavens gate,Town and Country
872,"Love Boat was a big TV hit, so a copy of it would be a big hit, too, right? This 1979 copy of Love Boat was to be based on the adventures, lives and loves of passengers on a train. What was the name of this nine-episode flop?",history,Super Train,The Century Express,Super Train,The Big Train,Cross Country Express
873,"In 1983, Apple sold its famous Lisa computer. It featured the first Graphic User Interface(GUI), a processor that allowed multitasking, the first mouse, a 5 MHz processor (very fast for the time), and a  large memory. Which of these is not one of the reasons for which it was not a success?",history,NASA refused to buy it.,NASA refused to buy it.,Steve Jobs was forced off the project.,It was too big and too bulky,"It cost  over $9,900."
874,"This TV game show is regarded as one of the biggest flops in the history of television. It lasted for one episode. One of its titles was The Jackie Gleason Show. It featured Jackie Gleason, Art Carney, Arthur Treacher, Bobby Darin, Pat Carrol and Mickey Rooney. What was the premise of the show?",history,Four guests stuck their heads into holes in a large piece of cardboard. The guest stars tried  to guess what the picture was about.,Three guest stars tried to figure out what a series of paintings was about .,Four guest stars tried to decipher the name of a famous person from a series of  doodles.,Three guest stars tried to determine a contestants job from a series of photos.,Four guests stuck their heads into holes in a large piece of cardboard. The guest stars tried  to guess what the picture was about.
875,"What was the most contested (captured, recaptured) town in the U.S. Civil War?",history,Winchester,Bethesda,Richmond,Winchester,Hampton Roads
876,Where did General Shermans March to the Sea begin and end?,history,Atlanta to Savannah,Atlanta to Savannah,Richmond to Savannah,Richmond to New Orleans,Charlotte to Savannah
877,What was the first state to secede from the Union?,history,South Carolina,Virginia,South Carolina,Georgia,North Carolina
878,What was U.S. Grant doing at the outbreak of the Civil War?,history,Working in the family business,None of these,Working in the family business,Had a command out West,Going to West Point
879,What was the last state to secede from the Union?,history,Tennessee,Tennessee,Louisiana,Arkansas,Texas
881,In 1962 President Kennedy of the US and Chairman Khrushchev of the Soviet Union were able to peacefully end a confrontation which might have led to a nuclear war. Where was this crisis centered?,history,Cuba,Israel,Korea,Berlin,Cuba
882,"Early in his administration this US President survived being shot by an assassin and even showed a sense of humor when he told his wife, Honey, I forgot to duck.",history,Reagan,Nixon,Carter,Ford,Reagan
883,"Children, and many adults too, were happy when the first Disneyland opened in California in this year.",history,1955,1949,1955,1967,1962
884,In 1954 Roger Bannister became the first person in history to do which of the following?,history,run a mile in under four minutes,win Noble Prizes in three different categories,orbit the earth,None of these,run a mile in under four minutes
885,"In the 1960s, Humans finally achieved an age-old dream of landing on the Moon. Who was the first person to set foot on the Moon and in what year did this happen?",history,"Neil Armstrong, 1969","Michael Collins, 1968","Neil Armstrong, 1969","Buzz Aldrin, 1966","Buzz Aldrin, 1967"
887,When did the Allies capture Tobruk during World War II?,history,1942,1943,1939,1941,1942
889,What nickname did Erwin Rommel get during World War II?,history,Desert Fox,Desert Fox,Stealth,The Mole,The African Liberator
890,In what month in 1945 did Japan surrender to the US?,history,September,October,September,January,December
891,What day in 1944 is referred to as D-Day?,history,June 6,June 6,August 2,June 10,May 9
896,When did the Germans invade Yugoslavia and Greece during World War II?,history,1941,1939,1943,1941,1999
897,In what month of 1941 did Nazi Germanys invasion of the Soviet Union start?,history,June,August,March,July,June
899,"Soviet cosmonaut Yuri Gagarin, who in 1961 became the first human to enter outer space, died in 1968. What was the cause of his death?",history,He was killed in a plane crash.,He developed AIDS and was not treated.,He was killed in an car accident.,He was killed in a plane crash.,A plane he was piloting was shot down by Chechen rebels.
900,"American astronaut John Glenn piloted the first American manned orbital mission, aboard Friendship 7 on February 20, 1962.  What actor performed a song, dedicated to him?",history,Walter Brennan,Charleton Heston,Walter Brennan,Nat King Cole,Perry Como
902,"This Russian cosmonaut was likely to have been the third or fourth person in space, but was dismissed from the cosmonaut corps in 1963, because of drunkenness and disorderly behavior at Chkalovskiy station.",history,Grigori Nelyubov,Vladimir Komarov,Aleksei Leonov,Grigori Nelyubov,Alexi Petronov
903,"The first person who lost his life in a space flight was the Soviet cosmonaut, Vladimir M. Komarov. How did he die?",history,The parachutes on his Soyuz 1 capsule did not deploy and the hard entry caused his death.,"The capsule of his Soyuz 1 spacecraft burned upon re-entry, due to damage to the heat shields.","His Soyuz 1 capsule landed on hard ground rather than making a soft, water landing.",His Soyuz 1 capsule burnt up in space because the heat shields were inadequate.,The parachutes on his Soyuz 1 capsule did not deploy and the hard entry caused his death.
904,"What astronaut almost drowned in 1961, when his Liberty Bell 7 capsule sank upon splashdown in the Pacific Ocean?",history,Gus Grissom,Jim Lovell,Ed White,Roger Chaffee,Gus Grissom
905,"On September 23, 1999, the Mars Climate Orbiter, whose mission was to study the Martian weather, climate, and water, crashed on the Martian surface, instead of starting to orbit around the planet. What was the reason for this accident?",history,Confusion in the system of units in the navigation of the spacecraft,The atmospheric stresses and friction were greater than expected.,A mechanical fault in the protective shield,Confusion in the system of units in the navigation of the spacecraft,Mars gravitation forces were greater than expected.
906,"This year was fatal for Russian space exploration, because after a normal re-entry of the capsule of the Soyuz 11 mission, the ground team opened the capsule to find the crew dead.",history,1971,1984,1971,1982,1989
907,Which of these statements about the state of the human body during space flights has been proven?,history,Astronauts tend to have a reduced amount of testosterone in space.,Astronauts tend to have memory problems during longer flights.,Astronauts tend to have elevated testosterone levels in space.,Astronauts tend to have a reduced amount of testosterone in space.,Astronauts tend to have a decreased capacity for exercise and brain activity when in outer space.
908,"On February 1, 2003, during the Space Shuttle Columbia disaster, the entire seven-member crew died. However, something on the shuttle survived the crash. What was it?",history,Some worms,Some rod-shaped bacteria,A mouse,An android,Some worms
909,Name the first state to secede from the Union.,history,South Carolina,Georgia,Virginia,Tennessee,South Carolina
910,Who was the first person in space?,history,Yuri Gagarin,Alexey Ivanovich,Alan Shepard,John Glen,Yuri Gagarin
911,Who is the first president of the U. S. in the 21st century?,history,Bill Clinton,Bill Clinton,Al Gore,Barrack Obama,George W. Bush
912,The battle that is generally considered the turning point of the Pacific War was fought on and near this island.,history,Midway,Palau,Midway,Iwo Jima,Kiska
913,The Doolittle raid was the first time the US bombed Japan in the Pacific War. The bombers were launched from an aircraft carrier but the Japanese did not know where the bombers came from. What place did President Roosevelt facetiously name as the place where the bombers had come from?,history,Shangri-La,an underground air base in China,Utopia,Shangri-La,The North Pole
914,Where did the Japanese and Americans fight for about six months in 1942 before the Japanese were finally defeated and their advance in the Solomon Islands stopped?,history,Guadalcanal,Kiska,Guadalcanal,New Britain,Tarawa
915,"In what sea were the combined naval forces of the US, Britain, Netherlands and Australia decisively defeated by the Japanese Navy as they advanced in Southeast Asia in 1942?",history,Java Sea,Java Sea,Arafura Sea,South China Sea,Timor Sea
916,"The kamikaze, Japanese suicide planes that crashed into Allied ships, first made a systematic appearance in 1944 during the fighting near this location.",history,the Philippines,Makin Atol,Tarawa,the Philippines,Palau
917,"This island, captured by US forces in 1944, was close enough for B29 bombers to fly round trip to Japan. A major air base was built there from which many B29 bombing attacks were launched and the planes carrying the atomic bombs took off.",history,Tinian,Mindanao,Palau,Tinian,Guam
918,What was the only major city in the Pacific theater of operations in which there was major urban warfare between US and Japanese forces?,history,Manila,Beijing,Port Moresby,Manila,Taipei
919,"This Japanese city had a large section burned out in a fire storm started by a large B29 air raid in March 1945. Although statistics are inadequate to judge conclusively, the raid may have killed as many people in one night as were killed by the atomic bomb at Hiroshima.",history,Tokyo,Sapporo,Tokyo,Osaka,Kyoto
920,The British and their allies were shocked in 1942 when the Japanese captured a British colonial city that was supposed to be so well fortified as to be immune to attack. What was that city?,history,Singapore,Mandalay,Hong Kong,Singapore,Darwin
921,The last major battle of World War Two was also the one that caused the most casualties to the US and their allies (mostly British) in the Pacific War. Where was this battle fought?,history,Okinawa,Philippines,Guam,Okinawa,Iwo Jima
922,"During World War Two, General MacArthurs US forces, with help from Australian forces, methodically and skillfully drove the Japanese from the second largest island in the world. What is that island?",history,New Guinea,New Guinea,Luzon,Sumatra,Australia
923,"In 1944 the US Navy air arm effectively destroyed the Japanese naval air power by sinking three Japanese aircraft carriers and shooting down about 600 Japanese planes in a battle the Americans nicknamed the turkey shoot. In what sea, which gives the battle its name, did this happen?",history,Philippine Sea,Sea of Japan,Philippine Sea,East China Sea,Celebes Sea
924,"In what body of water was a naval battle fought in 1942 in which, for the first time in history, the ships of both sides never saw each other?",history,Coral Sea,Leyte Gulf,Sulu Sea,Gulf of Papua,Coral Sea
925,How long did Hitlers Third Reich last?,history,12 years,14 years,12 years,6 years,4 years
927,"Adolf Hitlers father, Alois, changed his last name to Hitler. What was his original last name?",history,Schicklgruber,Von Poppen,Schicklgruber,Hindenburg,Van Poppen
928,"What was the code name for the invasion of Japan during WWII, which was never undertaken due to the end of the war?",history,Downfall,Cupcake,Downwind,Triton,Downfall
931,Which of these countries was not neutral during WWII?,history,Greece,Portugal,Greece,Spain,Switzerland
932,Who was Geli Raubel?,history,One of Hitlers nieces,One of Hitlers nieces,One of Hitlers secretaries,One of Hitlers secret agents,One of Hitlers sisters
933,"What was the name of the airplane that dropped the a-bomb over Nagasaki  on August 9, 1945?",history,Bocks Car,Little Boy,Angela Heart,Bocks Car,Enola Gay
935,Who led the Vichy regime in France during WWII?,history,Marshall Petain,Marshall Petain,General Jean Martine Dubois,General Lemoines,Henri Desqueres
937,"What is the name of the last Inca Emperor, who defeated his older half-brother in a civil war and took the throne?",history,Atahualpa,Tupac Hualpa,Atahualpa,Huayna Capac,Huascar
938,"What was the language of the Inca Empire, used by the Catholic Church to preach to Indians in the Andes area?",history,Quechua,Sepik-Ramu,Mairasi,Quechua,Amto-Musan
939,"This American explorer, a former member of the US Senate, rediscovered the Inca settlement of Machu Picchu.",history,Hiram Bingham,Hiram Bingham,Richard Basset,Dean Barkley,Judah Benjamin
940,"This Spanish conquistador, the founder of the City of Lima, conquered the Inca Empire.",history,Francisco Pizarro,Gonzalo Pizarro,Hernan Cortes,Francisco Pizarro,Alonso de Ojeda
941,"This kingdom, the largest in the Late Intermediate period of the cultural history of Peru, was eventually conquered by the Inca Empire in 1493.",history,Chimor,Chimor,Chan Chan,Wanka,Moche
942,"The Battle of Cajamarca, in which the last Inca emperor was captured, took place in which year?",history,1532,1530,1532,1555,1560
943,Who was the god of mountains in the Inca mythology?,history,Apo (Apu),Kon (Kan),Chasca,Apo (Apu),Paricia
944,What did the Inca officials wear in order to indicate their status?,history,tunic,sword,hat,tunic,belt
945,How many provincial regions did the Inca Empire have?,history,4,2,5,3,4
946,"This title, which in English means the only one,  was used by the ruler of the Inca Empire.",history,Sapa Inca,Manco Inca,Sapa Inca,Tupac Inca,Titu Inca
947,What was the scene of the last major battle of the Peloponnesian War?,history,Aegospotami,Actium,Epirus,Aegospotami,Salamis
949,"This town, after which an Olympic event was named, was the site of a battle where the Athenian army defeated the Persians in 490 BC.",history,Marathon,Decathlos,Pentathos,Marathon,Javelinos River
950,"In early 6th century BC, the city states of Akragas, Gela, and Syracuse sent ships to the city of Himera in west Sicily, where they defeated an invading force coming from where?",history,Carthage,Egypt,Crete,Carthage,Rome
952,What was the result of the Athenian invasion of Syracuse during the Peloponnesian War?,history,The Athenians were defeated.,The Athenians were defeated.,Syracuse was destroyed and Sparta later surrendered.,The Romans defeated both sides and took over Sicily.,Carthage invaded and controlled western Sicily.
954,"A story says that a Spartan wife gave this advice to her husband, upon his departure for the battlefield.",history,Come home with your shield or upon it.,None of these,May Zeus strengthen you and return you home safely.,May the blood of your enemies be as red as your cloak.,Come home with your shield or upon it.
955,Which of the following city states was not on the territory of present-day Greece?,history,Troy,Sparta,Troy,Athens,Argos
956,"To what dynasty did Cleopatra, the last Pharaoh of Ancient Egypt, belong?",history,Ptolemaic,Julio-Claudian,Vespasian,Flavian,Ptolemaic
957,How did Cleopatra present herself to Julius Caesar when he seized the Egyptian capital in 48 BC ?,history,rolled into a Persian carpet,rolled into a Persian carpet,riding a camel,dressed as the goddess Aphrodite,with a snake around her neck
958,During Cleopatras reign it was believed that she was the re-incarnation and embodiment of this goddess of wisdom.,history,Isis,Athena,Artemis,Anuket,Isis
959,"Cleopatras son by Julius Caesar, who reigned, as a child, jointly with his mother, was nicknamed Caesarion. What does Caesarion mean?",history,Little Caesar,Future Caesar,Little Caesar,Second Caesar,Son of Caesar
960,"What future emperor of the Roman Empire had Cleopatra and Julius Caesars son, Caesarion, executed?",history,Octavian,Mark Antony,Octavian,Marcus Aurelius,Theodosius I
961,"Cleopatra formed an alliance with Mark Anthony, one of the triumvirs who ruled Rome following Caesars death. How many children did Mark Anthony and Cleopatra have?",history,3,2,none,3,1
962,"Who wrote the tragedy Antony and Cleopatra, which centers on Cleopatra and Mark Antonys relationship from the time of the Parthian War until Cleopatras suicide?",history,William Shakespeare,William Shakespeare,Christopher Marlowe,Ben Jonson,George Bernard Shaw
963,"Who defeated Mark Antony and Cleopatra at the Battle of Actium, the last engagement in the Final War of the Roman Republic?",history,Octavian,Ptolemy XIII,Julius Caesar,Titus Andronicus,Octavian
964,"After Cleopatra and Anthonys death, who became guardian of their children?",history,"Octavia Minor, Anthonys fourth wife","Octavia Minor, Anthonys fourth wife",Octavian,"Cleopatras oldest son, Caesarion",The children were executed.
965,How did Cleopatra commit suicide according to ancient sources?,history,by inducing an asp to bite her,by stabbing herself with a sword,by stabbing herself with a poisoned arrow,by inducing an asp to bite her,by swallowing poison
966,The word Calendar comes form Latin kalendae. What does this word mean?,history,First days of each month,The day of spring equinox,The day of summer solstice,Last day of the year,First days of each month
967,The internationally accepted civil calendar is called Gregorian. After who was it named?,history,Pope Gregory XIII,Pope Gregory XIII,Historian Gregory of Tours,Scientist Gregor Mendel,Pope Gregory the Great
968,How many months in the Gregorian calendar have 31 days?,history,7,5,7,6,4
969,The Gregorian Calendar was introduced in 1582. Which one of these countries was among the first to adopt it?,history,Poland-Lithuania,Russia,England,France,Poland-Lithuania
970,Why is the 9th month of the Gregorian calendar called September?,history,September was the 7th month in Roman calendar,After Septimus Severus - a Roman Emperor,September was the 7th month in Roman calendar,After Septimus Weasley,Septimus in Latin means ninth
971,The Gregorian calendar replaced the Julian over 400 year ago. Which religion is still using the Julian calendar?,history,Orthodox Christianity,Islam,Hinduism,Orthodox Christianity,Judaism
972,From what is the English word Friday derived?,history,Old English day of Frige,"Free, as Friday used to be the day of rest",Anglo-Saxon the fifth day,"Friesland, a region in the Netherlands",Old English day of Frige
973,What is the etymology of the month August?,history,It was named to honor Roman Emperor Octavian August,Augustus means 6th in Latin and the month was 6th in the Roman calendar,Augustus means horrific in Latin. August was the month when Rome burnt,It was named to honor Roman Emperor Octavian August,Auguste was a ship that sank in August 1761
974,Which statement about year 2009 is not true?,history,It is a leap year,It is year 1430 in Islamic calendar,It is the year of the ox in Chinese calendar,Hebrew year 5770 starts on 18 September 2009,It is a leap year
975,A week denotes 7 days. Where/when weeks were 10 days long?,history,During French Revolution,For ancient Balts,During French Revolution,During the October Revolution in Russia,In Mayan Empire
976,When did the Battle of Trenton take place?,history,"December 26, 1776","December 24, 1776","December 25, 1776","December 24, 1775","December 26, 1776"
978,What was the name of the tough Colonel who commanded the Hessian Garrison during the Battle of Trenton?,history,Johann Rall,Heinrich Bannerman,Ernst Von Klieg,Johann Rall,Karl Stern
979,"The crossing of the Delaware, that preceded the Battle of Trenton, was aided by a regiment of boatmen from this Massachusetts town.",history,Marblehead,Wooster,Boston,Marblehead,Salem
980,How many men did Washington have in his attack force during the Battle of Trenton?,history,2400,3500,7000,2400,1256
982,What were Washingtons passwords for the crossing of the Delaware River and the attack on Trenton?,history,Victory or Death,Victory and Liberty,Liberty or Death,Victory or Death,Let Us Roll
984,"At the time of the Battle of Trenton, the Hessian garrison numbered some 1500 men. Twenty soldiers were killed and eighty wounded. About how many soldiers were taken prisoner?",history,900,250,900,75,600
986,"At the time of the Battle of Trenton, some Hessians were quartered in a stone building that is now a Trenton museum. What is the name of this museum?",history,The Old Barracks Museum,St. Anthonys Church,The Old Barracks Museum,Battlefield House,The Stone House
987,Holland means what in the ancient Dutch language?,history,Land of  wood,Land of  wood,Land of  palm trees,Land of  volcanoes,Land of  deserts
988,What Batavian led the ill-fated uprising against the Romans AD 69-70?,history,Claudius Civilis,Atilla,Claudius Civilis,Dipo Negoro,Spartacus
989,In what year was the Dutch Labour Party (S.D.A.P.) founded?,history,1894,1850,1928,1894,1872
990,What period of time during the Eighty Years War (1568- 1648) is referred to as the Twelve Years Truce?,history,1609 to 1621,1635 to 1647,1598 to 1610,1569 to 1581,1609 to 1621
991,"In the Netherlands, who headed the famous postwar Cabinet of 1948 - 1958?",history,William Drees,Barend Biesheuvel,Victor Marynen,William Drees,Pieter Gerbrandy
992,Who became the first female Cabinet minister of Holland in 1956?,history,Margarita Klompe,Kenau Hasselaar,Wilhelmina Drucker,Margarita Klompe,Aletta Jacobs
993,Which king of England is not the title character of a Shakespearean play?,history,Henry VII,Richard III,Henry VIII,Henry VII,Richard II
994,Which great journey was funded by an English king?,history,Giovanni Cabotos to Newfoundland (1497),Giovanni da Verrazzanos to Manhattan (1524),Ferdinand Magellans round trip around the world (1519-1521),Giovanni Cabotos to Newfoundland (1497),Christopher Columbuss to the West Indies (1492)
