,question,category,answer,choices__001,choices__002,choices__003,choices__004
685,"The name Lumbriculus variegatus, or blackworm, refers to a few worm species. In what way do they reproduce?",animals,By regeneration,By parthenogenesis,With eggs,All of these,By regeneration
686,"Which of these statements is true about the Black dog, a ghost-like creature popular in the folklores of the British Isles?",animals,All of these,It is believed to appear at night.,It is associated with the Devil.,It is considered a portent of death.,All of these
687,Which of these statements is true about the Black garden ant?,animals,All of these,Each colony has only one queen.,It is found in Europe.,All of these,It is found in North America and Asia.
688,Which of these statements is true about the Black Iberian Pig?,animals,It is indigenous to the Mediterranean.,It is indigenous to the Mediterranean.,It is a rodent.,All of these,It is not actually black.
689,What animal is is the only strictly-marine herbivorous mammal in the world?,animals,All of these,Dugong,All of these,Sea pig,Sea cow
690,This animal is considered a marine mammal because it lives on the sea ice most of the year.,animals,Polar bear,Polar bear,All of these,Walrus,Polar fox
692,"This animal is the heaviest member of its family, and also one of the smallest marine mammals.",animals,Sea otter,Sea pig,Sea otter,Polar mouse,None of these
693,"Which of these marine mammals matches the description: Very large body, has tusks and whiskers?",animals,Walrus,Tusked seal,Elephant seal,Walrus,Polar bear
694,"The Humpback Whale, one of the largest marine mammals, feeds in this season.",animals,Summer,Spring and winter,Winter,Summer,Fall
695,"This extraordinary marine mammal is often considered a whale, but it is actually a dolphin.",animals,All of these,All of these,Killer Whale,Blackfish,Seawolf
696,Dolphins are considered some of the most intelligent animals on the planet. How are they classified according to their diet?,animals,They are carnivores.,They are specialized eaters.,They are carnivores.,They are herbivores.,They are omnivores.
697,"This marine mammal is known as the pilot whale, but it is not actually a whale. What type of animal is it?",animals,Dolphin,Walrus,Seal,Dolphin,Otter
698,Which of these animals are among the many marine mammals that use songs for the purposes of communication?,animals,All of these,All of these,Blue Whale,Humpback whale,Beluga
699,"Translated in English, what does the name of the chinchilla mean?",animals,Little Chincha,Little Chilean,Little Chincha,Little Chile,Of Chincha
700,The natural habitat of the Chinchilla is this region in South America.,animals,The Andes,Tierra del Fuego,The Atacama Desert,The Amazon River basin,The Andes
701,Which is the wrong statement about chinchilla breeding?,animals,Chinchillas have a 45-day gestation period.,Chinchilla litters predominately consist of twins.,Chinchillas can breed any time of the year.,Little chinchillas are born furred and with eyes open.,Chinchillas have a 45-day gestation period.
703,To which chinchilla species do most of the domestic chinchillas belong?,animals,Chinchilla lanigera,None of these,Chinchilla lanigera,Giant Chinchilla,Chinchilla brevicaudata
705,"In nature, chinchillas can be found in only one color. Which one is it?",animals,Grey,Grey,Black,Brown,Beige
707,Which of the following should be avoided in the pet chinchillas diet?,animals,Fresh vegetables,Fresh vegetables,Hay,Water,Raisin
708,Which of these physiological features does the chinchilla lack?,animals,The ability to sweat,The ability to sweat,The ability to sneeze,The ability to jump,The ability to swallow
709,Name the two types of Chinese Crested dogs.,animals,Hairless and Powderpuff,Water and Runner,Hairless and Hound,Sporty and Spotted,Hairless and Powderpuff
711,Which breed group does the Chinese Crested dog belong to?,animals,Toy,Sporting,Hound,Toy,Non-Sprint
713,Which of the following behaviors is not typical for the Chinese Crested dog?,animals,Pant to keep cool,Pant to keep cool,Bark,Lift a leg to urinate,Wag their tail when happy
716,"The origin of the Chinese Crested dog is unknown, but according to some sources it may have come from which of these places?",animals,Mexico and Africa,Canada and USA,Thailand and Egypt,Mexico and Africa,Japan and China
718,A hairless Chinese Crested dog needs to be protected from which of the following?,animals,All of these,Sunburn,Winter Wind,Dry Skin,All of these
719,What term is commonly used to denote a group of foxes?,animals,All of these,Earth,Troop,All of these,Skulk
720,What is the meaning the word which stands for fox in many languages?,animals,Tail,Fur,Nose,Cunning,Tail
721,How are most foxes generally classified according to their diet?,animals,Omnivores,Omnivores,Specialized eaters,Insectivores,Carnivores
722,"Which of these names refers to the Crab-eating Fox, a medium-sized fox found in the central part of South America?",animals,All of these,Forest Fox,Wood Fox,Common Fox,All of these
723,What fox species is considered to be the smallest on the planet?,animals,Fennec Fox,Short-Tailed Fox,Fennec Fox,Island Fox,Coast Fox
724,"What notable feature does the Fennec Fox possess, that makes it easily recognizable?",animals,Very large ears,It has no tail,Bluish fur,Very large ears,Red eyes
725,"Which of these names belongs to the fox species that is the second smallest fox species in the world, slightly smaller than a domestic cat?",animals,All of these,Short-Tailed Fox,All of these,Coast Fox,California Channel Island Fox
726,"According to Chinese mythology, what shape do fox spirits known as huli jing take in the real world?",animals,Women,Cats,Children,Bushes,Women
727,which of these stories and books have a fox character involved in the storyline?,animals,The Adventures of Pinocchio,Pippi Longstocking,The Adventures of Pinocchio,The Little Match Girl,Thumbelina
728,What eminent musician released his album The Fox in 1981?,animals,Elton John,Tom Johnes,Elton John,Barry White,Julio Iglesias
729,Chipmunks are small squirrel-like rodents belonging to the genus Tamias. What does the Greek word tamias mean?,animals,Storer,Storer,Nibbler,Squirrel,Stripes
730,What would some species of  porcupine consume in order to supply calcium ans salts?,animals,Bones,Nails,All of these,Tiny rocks,Bones
731,"What defense tactic does the chinchilla use in order to escape from its predators, which include birds of prey, skunks, felines, snakes and canines?",animals,Spraying urine,Playing dead,Squeaking,Scratching,Spraying urine
732,"What rodent, closely related to the chinchilla and guinea pig, is also known as the Brush-Tailed Rat and is native to Chile?",animals,Degu,Gerbil,Degu,White-tailed Antelope Squirrel,Prairie dog
733,"The Capybara is the largest rodent in the world. What is the meaning of its name, derived from a word of the GuaranÃ­ language?",animals,Master of the grasses,Master of the grasses,River keeper,Rabbit pig,Water squirrel
734,"The acouchis, small diurnal rodents found along riverbanks in the Amazon Rainforest, usually feed on this type of food.",animals,Fruit,Insects,Grass,Fruit,Nuts
735,"Guinea pigs are very intelligent, highly social animals that use special vocalization to communicate. What does their whistling or wheeking sound express?",animals,Excitement,Excitement,Danger or pain,Discomfort,Warning
736,Groundhogs are mostly herbivorous rodents that sometimes eat animal matter. What kind of animals would they feed on?,animals,All of these,Larvae,Grasshoppers,All of these,Snails
737,"What kind of unique activity is characteristic of the African Pygmy Mouse, the smallest rodent in the world?",animals,It piles up pebbles in front of its burrow.,It sings at night.,It disguises its young using leaves.,It starts dancing when it feels threatened by a predator.,It piles up pebbles in front of its burrow.
738,Which of these statements is true about rodent species in general?,animals,Rodents do not vomit.,All of these,"The Latin word rodere, from which rodent originates, means rat.",Rodents have canine teeth only on their lower jaw.,Rodents do not vomit.
740,How did Hummingbirds get their interesting name?,animals,Because of the noise they produce when they fly,None of these,"They are named after their discoverer, Michael Hummings.",Because of their singing,Because of the noise they produce when they fly
741,Hummingbirds are the only birds on the planet to have this amazing ability.,animals,They can fly backwards.,They can stay without water for as many as 30 days.,All of these,They can carry food that is 3 times heavier than their own weight.,They can fly backwards.
742,What is the major type of food that Hummingbirds depend on for their survival?,animals,Nectar,All of these,Seeds,Buds,Nectar
743,Which of the following statements is true about Hummingbirds?,animals,"When Hummingbirds are flying they have the fastest metabolism of all animals, except for insects.",Hummingbirds heart can beat as fast as 300 times per minute.,"When Hummingbirds are flying they have the fastest metabolism of all animals, except for insects.",All of these,Hummingbirds often consume very large amounts of food and they are not able to lift off.
744,What is the term for the state of temporary hibernation that Hummingbirds enter when food is not available?,animals,Torpor,Hush,Stupor,Stillness,Torpor
745,What is the reason for Hummingbirds short life-span?,animals,Their fast metabolic rate,Their fast metabolic rate,They have many predators.,They often get poisoned when feeding on nectar or insects.,Their small size
746,"The usage of raw sugars, including brown sugar, is not recommended when preparing artificial nectar for Hummingbirds. Why?",animals,Raw sugars contain iron.,All of these,Raw sugars contain iron.,Raw sugars contain zinc.,They contain harmful heavy metals.
747,Aztecs are known for wearing hummingbird talismans which symbolize which of the following?,animals,All of these,Skill at arms,Energy,Sexual potency,All of these
748,"How did the smallest bird in the world, the Bee Hummingbird, get its name?",animals,Because it is approximately the size of a large bee,Because of its black-and-yellow plumage,Because it is approximately the size of a large bee,Because of the sound it make with its wings,Because it feeds on bees
749,"Where does the Giant Cowbird, a passerine bird found in South America, lay its eggs?",animals,In other birds nests,In other birds nests,On rocks,On balconies,On the ground
750,"The vicuna, a South American animal, is a close relative of this other animal.",animals,Llama,Iguana,Llama,Tarantula,Chinchilla
751,"What common name is used to denote the dolphin species Sotalia fluviatilis, indigenous to South America?",animals,All of these,Tucuxi,Bufeo gris,All of these,Bufeo negro
752,"What color is the head of the South American stork Jabiru, whose body is predominantly white?",animals,Black,Purple,Green,Black,Red
753,"What type of animal is the Gold tegu, found in South America?",animals,Reptile,Reptile,Insect,Deer,Primate
755,"What makes the Scarlet Macaw, a parrot species indigenous to South America, unsuitable for a pet?",animals,All of these,It is very demanding.,It is extremely noisy.,It is a high maintenance pet.,All of these
756,"What does the South American snake Lachesis muta, commonly known as South American bushmaster, do when it feels threatened?",animals,It starts vibrating its tail.,It starts vibrating its tail.,It spreads its neck.,It hisses and dances.,All of these
758,What type of mammal is the Culpeo?,animals,Wild dog,Beaver,Wild cat,Wild dog,Fox
763,Which of the following is a characteristic of the tiger shark?,animals,They give birth to live young.,They can breath above water.,They have eyelids.,They give birth to live young.,They have body hair.
764,What time of day does the tiger shark usually hunt?,animals,Nighttime,They hunt at different times throughout the day,Early morning,Nighttime,Mid morning
767,How long is the gestation period for a female tiger shark?,animals,15-16 months,15-16 months,20-21 months,10-12 weeks,9-10 Months
768,Which of these is one of the nicknames of the tiger shark?,animals,Wastebasket of the Sea,Garbage Can of the Deep,Predators  that will kill,Wastebasket of the Sea,Killers of the Ocean
769,What does the Latin word  omnivore stand for?,animals,Eating everything,Fast eater,Eating constantly,Eating whatever,Eating everything
770,Most bear species are omnivores and their diet consists mainly of what?,animals,Mast,Tubers,Leaves,Grass,Mast
771,"Which of these statements is NOT true about the Common Raven, a popular omnivorous bird?",animals,It wouldnt eat birds,It wouldnt reject carrion,It would feed on animal feces,It wouldnt eat birds,It feeds on human food waste
772,Which of these is not within the natural diet of the omnivorous Eastern Box Turtle?,animals,Small amphibians,Small amphibians,Earthworms,Snails,Carrion
773,Which of these is true about raccoons?,animals,They use their front paws to examine their food and remove unwanted parts,They do not produce enough saliva to moisten their food,They use their front paws to examine their food and remove unwanted parts,Only wild raccoons douse their food,All of these
774,"What is the main food source for the sloth, an omnivorous mammal living in Central and South America?",animals,Leaves,Small reptiles,Leaves,Insects,Fruit
775,"What bizarre food would pigs occasionally eat, being omnivores?",animals,All of these,Tree bark,Their young,Rotting carcasses,All of these
776,"Skunks, which are omnivorous mammals, are one of the primary predators of these animals.",animals,Honeybees,Moles,Termites,Honeybees,Salamanders
777,What is the prevailing color of the fur of the Tasmanian devil?,animals,Black,Grey,White,Brown,Black
778,In what part of their body do Tasmanian devils store body fat?,animals,Tail,Abdomen,Neck,Tail,Back
779,"What is the meaning of the word Sarcophilus, the name of the genus that the Tasmanian devil belongs to?",animals,Meat-lover,Devil creature,Blood-lover,Dog-like,Meat-lover
780,At what time of the day are Tasmanian devils most active?,animals,At night,At night,Early morning,At noon,During the daytime
781,Which of these statements is true about Tasmanian devils?,animals,They are predominantly solitary animals,They are predominantly solitary animals,They live in couples,They live in groups,None of these
782,What does the Tasmanian devil do when it feels stressed or threatened?,animals,It produces a strong odour,It starts screaming,It plays dead,It produces a strong odour,It attacks
783,Which of these statements are wrong about the reproduction of the Tasmanian devil?,animals,The female has six nipples,The female gives birth to 20-30 young,Gestation lasts 21 days,The female has six nipples,None of these
784,What type of food do Tasmanian devils prefer in the wild?,animals,Carrion,Sheep,Carrion,Insects,Fish
785,In May 2009 the Tasmanian devil was declared to be endangered because this disease had almost wiped out its population.,animals,Facial cancer,AIDS,Facial cancer,Kawasaki disease,Rabies
786,What is the name of the Tasmanian devil cartoon character from Looney Tunes by Warner Bros.?,animals,Taz,Taz,Tess,Devlin,Tassie
787,Which of these are a part of an ant colony?,animals,All of these,All of these,Drones,Soldiers,Workers
788,Which of these behaviors is typical of ant societies?,animals,All of these,Ability to solve complicated problems,Communication between individuals,Division of labor,All of these
790,Which of these is true about ants diet?,animals,Most ants are omnivores.,All ants are herbivores.,All ants are carnivores.,Most ant species are carnivores.,Most ants are omnivores.
791,What is the usual size range of mature ants?,animals,From 0.75 to 52 millimeters,From 1.5 to 12 millimeters,From 3.5 to 61 millimeters,From 2 to 33 millimeters,From 0.75 to 52 millimeters
792,Which of the following statements is true about ants eyes and eyesight?,animals,All of these,"The eyesight of most ants ranges from poor to average, and a number of species that live underground are completely blind.",All of these,Ants have compound eyes which consist of multiple small lenses.,Ants have three simple eyes called ocelli on the top of their heads that detect light levels and polarization
793,How many legs do ants have?,animals,6,10,6,8,4
795,Which of these ways of defence and attack do ants use?,animals,All of these,All of these,Injecting or spraying chemicals,Stinging,Biting
796,This chemical is found in the venom of most ants and some other insects.,animals,Formic acid,Formaldehyde,Saxitoxin,Formic acid,Cyanic acid
797,"Some small spider species, as well as the young of larger species, are known for floating in the wind. What is this activity commonly known as?",animals,Ballooning,Skydiving,Jetting,Drifting,Ballooning
798,Which of these mollusks is able to glide over in air for up to 50 meters (164 feet)?,animals,Squid,Oyster,Squid,Octopus,Slug
799,"In what ocean can the 50 species of Exocoetidae, also known as flying fish, be found?",animals,All of these,Atlantic ocean,All of these,Indian ocean,Pacific ocean
800,"Of all the gliding animals, which one is the one best glider?",animals,Flying lemurs,Sifaka,Flying lemurs,All of these,Flying squirrels
801,"Which  frog is a skilled glider, able to make two types of turns midair?",animals,Chinese gliding frog,Malayan flying frog,Benjamins gliding frog,Wallaces Flying Frog,Chinese gliding frog
802,"Some mammals are able to glide and parachute, but bats are the only ones capable of flying.  What is the name of the membrane that forms the surface of their wings?",animals,Patagium,Reticulum,Patagium,Corticulum,Flagellum
803,"In what geographical region can you find the Paradise Flying Snake, also called Paradise Tree Snake?",animals,Asia,Central and South America,North America,Australia,Asia
804,"What kind of organism is the Greater Glider, a gliding animal indigenous to Australia?",animals,Mammal,Reptile,Fish,Amphibian,Mammal
805,Where are the gliding membranes of the Draco lizard species positioned?,animals,On their elongated ribs,Between their fingers and toes,Between its front and hind legs,They do not have a gliding membrane,On their elongated ribs
806,Which of these species of geckos is able to glide in the air after jumping or falling from a tree?,animals,Ptychozoon,Gold dust day gecko,Ptychozoon,Uroplatus fimbriatus,Leopard gecko
807,"The large tsetse fly, found in Africa, feeds on what?",animals,Blood,All of these,Blood,Carrion,Nectar
808,What type of animal is the serval?,animals,Feline,Canine,Ungulate,Reptile,Feline
809,What is the largest crocodilian in Africa?,animals,Nile crocodile,Gharial,Slender-snouted Crocodile,Nile crocodile,Saltwater crocodile
810,What body part of the giraffe can indicate its gender?,animals,Horns,Tongue,Teeth,Horns,Eyes
811,"Adult Goliath beetles, found in Africas tropical forests, feed on what?",animals,Fruits and tree sap,Leaves and grasses,Insects and other invertebrates,Fruits and tree sap,Carrion
812,"What type of animal is the dik-dik, indigenous to Africa?",animals,Antelope,Cricket,Wild cat,Rodent,Antelope
813,"In cetaceans, the species identification ârorqualâ comes from the Norwegian word ârorhvalâ which means âfurrow.â These furrows are obvious on all rorqual whales. Which of the following is not a rorqual whale?",animals,Beluga whale,Beluga whale,Sei whale,Brydeâs whale,Minke whale
814,Right and gray whales have been over-fished almost to extinction. Which of the following is a gray or right whale?,animals,Bowhead whale,Bowhead whale,Blue whale,Sperm whale,Narwhal
815,"Narwhals and belugas make up separate subspecies of cetaceans. However, taxonomists often include in it a dolphin which lives in Indo-Pacific waters. What is the name of this dolphin?",animals,Irrawaddy dolphin,Irrawaddy dolphin,Bottlenose dolphin,Boto,Rissoâs dolphin
816,"Which whale expels a reddish-brown fluid when threatened, much like an octopus?",animals,Pygmy sperm whale,Dwarf sperm whale,Pygmy sperm whale,Andrewâs beaked whale,Fin whale
817,Males of this whale species have one tooth that can grow to be 10 feet (3 m) long.,animals,Narwhal,Strapped-tooth whale,Narwhal,Long-finned pilot whale,Blainvilleâs beaked whale
818,The largest family of whales is the beaked whales (Ziphiidae). Most of the scarce information about this family has been found from dead specimens. Their teeth are the most distinctive aspect of these whales; most have only 2-4 oversized teeth. Which whaleâs teeth erupt from bulges in the lower jaw?,animals,Blainvilleâs beaked whale,Stejnegerâs beaked whale,Longmanâs beaked whale,Blainvilleâs beaked whale,Arnouxâs beaked whale
819,The family âdelphinidaeâ include which kind of cetacean?,animals,Dolphins,Rorqual whales,Southern right whales,Porpoises,Dolphins
820,The family âphocoenidaeâ describe which group of cetacean?,animals,Porpoises,Indus and Ganges river dolphins,Porpoises,Beaked whales,Dolphins
821,These cetaceans live off the southern coast of South America and can be found up to 150 miles (240 km) up the Amazon River. They are colored pale blue with a white underside. What is their name?,animals,Tuxici,Tuxici,Amazon dolphin,South American dolphin,Franciscana
822,"Sometimes called the âhooked-finnedâ porpoise, this animal has a barely noticeable beak. It lives in the deep waters of the northern latitudes between North America and Asia, and is a very fast swimmer (up to 20 mph / 32 km/h). What is its name?",animals,Pacific white-sided dolphin,Dusky dolphin,Dallâs porpoise,Pacific white-sided dolphin,Pantropical dolphin
823,"The representatives of this type of dolphins have very small eyes, making them virtually blind. They rely on echolocation to find food and swim in turbid waters. They include the baiji and boto. What are they called?",animals,River dolphins,Oceanic dolphins,River dolphins,Muddy dolphins,Blind dolphins
824,"This family of cetaceans has representatives like the vaquita, the harbor, and spectacled type. They are shy and stay away from boats; however, they are particularly susceptible to fishing lines, nets, and other pollution. Which is the family?",animals,Porpoises,Pilot whales,River dolphins,Porpoises,Dolphins
825,This oceanic dolphin has distinctive yellow patches on its sides. It is mostly found in the northern latitudes of the Atlantic Ocean.,animals,Atlantic white-sided dolphin,Atlantic white-sided dolphin,Hectorâs dolphin,Atlantic yellow-sided dolphin,Common dolphin
826,"This popular dolphin often herds fish onto the beach in order to eat the stranded fish. As a result, the teeth on one side (usually the right) are worn down due to eating sand as well as the fish. Which is this dolphin?",animals,Bottlenose dolphin,Stranded dolphin,Bottlenose dolphin,Right-sided dolphin,Spotted dolphin
827,Which of the following do orca NOT do with their food?,animals,Regurgitate it for their young,Regurgitate it for their young,Throw it,Use it as a teaching tool for young orca,Slam it on the surface of the water
828,What animal is considered the smallest mammal in length on the planet?,animals,Kittis Hog-nosed Bat,None of these,Pygmy Jerboa,Kittis Hog-nosed Bat,Etruscan Shrew
829,"The Microraptor, the smallest known non-avian dinosaur, inhabited this modern day area during the early Cretaceous Period 130-125.5 million years ago.",animals,China,Madagascar,China,Australia,Canada
830,What kind of animal is the smallest known reptile on the planet?,animals,Gecko,Lizard,Snake,Turtle,Gecko
831,This tiny frog is the smallest amphibian in the world.,animals,Brazilian Gold Frog,Monte Iberia Eleuth,Brazilian Gold Frog,Rana Minuscula,Small Frog
832,What type of insect is the smallest known insect on the planet?,animals,Wasp,Cockroach,Wasp,Ant,Fly
833,Which of these tiny bugs is considered the smallest beetle in the world?,animals,Scydosella musawasensis,None of these,Scydosella musawasensis,Nanosella,Vitusella fijiensis
834,What type of animal is the smallest vertebrate?,animals,Fish,Mammals,Reptiles,Amphibians,Fish
835,"The smallest turtle in the world, the Speckled Padloper Tortoise, inhabits which of these areas?",animals,South Africa,South Asia,North Australia,South America,South Africa
836,"Where is its natural habitat of the smallest bird on the planet, the Bee Hummingbird?",animals,Cuba and the Isle of Youth,Hawaii,All of these,Cuba and the Isle of Youth,Madagascar
837,What bacterium is believed to be the smallest living organism that is capable to grow and reproduce independently?,animals,Mycoplasma genitalium,Staphylococcus aureus,Escherichia coli,Carsonella ruddii,Mycoplasma genitalium
838,What does the diet of most penguin species primarily consist of?,animals,All of these,Krill,All of these,Squid,Fish
839,The largest penguin species on the planet is the Emperor Penguin. What is the smallest one?,animals,All of these,All of these,Blue Penguin,Little Penguin,Fairy Penguin
840,"There are various theories for the origin of the word penguin, such the Latin word pinguis, which means what?",animals,Fat,Diver,Upright,Swimmer,Fat
841,"What color is the crest on the head of the Southern Rockhopper Penguin, which is known for having red eyes?",animals,Yellow,Bright blue,Yellow,Red,Green and blue
842,Which of these penguin species is the closest relative of the Magellanic Penguin?,animals,All of these,African Penguin,All of these,Galapagos Penguin,Humboldt Penguin
843,What is the common name of the Eudyptes schlegeli penguin species that have a white face and live in the waters surrounding Antarctica?,animals,Royal Penguin,King Penguin,All of these,Emperor Penguin,Royal Penguin
844,The sound of what musical instrument does the call of the Macaroni Penguin resemble?,animals,Trumpet,Trumpet,Saxophone,Flute,Ocarina
845,"Most penguin species are piscivorous, meaning what?",animals,They feed primarily on fish,They do not drink water,They have a tubular body shape,They feed primarily on fish,An aquatic animal
846,What notable feature does the Gentoo Penguin possess which makes it easily recognizable?,animals,A white stripe on the top of its head,A white stripe on the top of its head,A longer blue tail,A red crest on its head,A yellow spot on its abdomen
847,What is the special talent of the penguin Mumble from the 2006 animated movie Happy Feet?,animals,Tap dancing,Shoe making,Singing,Break dancing,Tap dancing
848,What large mammal is the national animal of India?,animals,Bengal tiger,Water Buffalo,Bengal tiger,Indian Rhinoceros,Indian Elephant
849,What type of Indian animals are included in the so-called Big Four selection?,animals,Poisonous snakes,Poisonous snakes,Largest insects,Most dangerous animals,Largest land animals
850,"What interesting physical feature does the Nicobar Bulbul, endemic to the Nicobar Islands of India, possess?",animals,It has a dark cap on its head.,It has a bright red beak.,Its tail is very long and yellow.,Its eyes are purple.,It has a dark cap on its head.
851,Which of these statements is not true about the Indian Elephant?,animals,All of these,It has a smaller trunk than the African Elephant.,All of these,"Its abdomen is quite large compared to its skull, unlike African elephants.",It has larger ears than the African Elephant.
852,"What interesting resting posture does the Indian Treeshrew, a.k.a. Madras Treeshrew, have?",animals,With its tail resting on its head,Sprawling on the ground as if its dead,With its tail resting on its head,Cuddling its rear legs,Hanging upside down from a branch
853,"What type of animal is the Indian Flying-fox, found in India, Bangladesh, China, and other parts of Asia?",animals,Bat,Bat,Fox,Squirrel,Primate
870,What is the only place in the world you can see platypuses in the wild?,animals,Australia and Tasmania,South-eastern Asia,Australia and Tasmania,Hawaii Island,South America
871,How do platypuses reproduce?,animals,Platypuses lay eggs.,None of these,Platypuses reproduce asexually.,Platypuses lay eggs.,Platypuses are metatherian.
872,How does the platypus feed its young for the first three to four months?,animals,"The mother is lactating, but she has no teats.",The mother is feeding them with insects.,The mother is breastfeeding them.,The young rely on their yolk sacs for food.,"The mother is lactating, but she has no teats."
873,What is the weight range of normal mature platypuses?,animals,From 0.7 to 2.4 kg,Between 3.2 and 4.6 kg,From 2.5 to 5.5 kg,Between 0.5 to 2.8 kg,From 0.7 to 2.4 kg
875,Platypuses use this method to detect their prey.,animals,They use electrolocation.,They rely on their well-developed sense of smell.,Platypuses rely mainly on their hearing.,They use electrolocation.,They rely on their exceptional eyesight.
876,What is the normal life span of a platypus in the wild?,animals,Up to 11 years,Up to 22 years,Up to 11 years,Around 2 years,About 4 years
877,Which of these statements is true about the diet of the platypus?,animals,Platypuses are carnivores.,Platypuses are carnivores.,Platypuses are herbivores.,Platypuses are specialized eaters.,Platypuses are omnivores.
879,What is the normal body temperature of a healthy platypus?,animals,About 32Â°C,Around 22Â°C,Around 28Â°C,Between 35Â°C and 37Â°C,About 32Â°C
880,What geographical region are chinchillas native to?,animals,South America,Asia,Africa,North America,South America
881,How is the chinchilla classified according to the peak of its activeness throughout the day?,animals,Crepuscular,None of these,Nocturnal,Crepuscular,Duirnal
882,What type of food do chinchillas prefer to feed on in the wild?,animals,All of these,Plants,All of these,Insects,Fruits
883,What name is used for the social groups that chinchillas form when living in the wild?,animals,Herds,Schools,Herds,Flocks,Troops
884,What chinchilla species has become extinct as a result of fur hunting?,animals,Giant Chinchilla,All of these,Long-tailed Chinchilla,Giant Chinchilla,Red-nosed Chinchilla
885,In which of these studies are chinchillas used as animal models?,animals,Studies of the auditory system,Studies of vocalization,Eyesight studies,Studies of the auditory system,Studies of the reproductive system
886,"If the ears of a chinchilla turn red, it is a sign of this condition.",animals,Overheating,It is pregnant.,The animal is in heat.,The animal is disturbed or angry.,Overheating
887,What kind of sounds do baby chinchillas produce in order to show their parents that they are hungry?,animals,Chirps,Hissing,Chirps,Barks,Clucking
888,What is the literal translation of the word lanigera in the name of the chinchilla species Chinchilla lanigera?,animals,Wearing a woolen coat,Long-tailed,Having long ears,Sleeping in straw,Wearing a woolen coat
889,"This cat breed, developed by American breeder Ann Baker, is large and has blue eyes and soft fluffy coat with point coloration.",animals,Ragdoll,Ragdoll,LaPerm,Egyptian Mau,Savannah
890,"This large cat breed, created in the United States, has rabbit-like fur of medium length, rectangular body, and a fatty pad in the lower abdomen.",animals,Ragamuffin,Balinese,California Spangled Cat,Munchkin,Ragamuffin
891,"This cat breed occurred naturally, most probably in Egypt. It has silky short fur with special ticked coloration.",animals,Abyssinian,Korat,Sphynx,Abyssinian,Burmilla
892,"This very old cat breed, which occurred naturally in Turkey, has a slender body with medium length fur, usually white.",animals,Turkish Angora,Ocicat,Cymric,Selkirk Rex,Turkish Angora
893,"This cat breed, which appeared naturally in Thailand, has a slim body and short fur with point coloration.",animals,Siamese,Himalayan,Siamese,Korat,Burmese
894,This hairless cat breed originated in Russia.,animals,All of these,Don Sphynx,Donskoy,Don Hairless,All of these
895,"This cat breed occurred in Thailand, has very slim elongated body, short fur and very large ears.",animals,Oriental Shorthair,Oriental Shorthair,Selkirk Rex,Singapura,Siamese
896,This exotic cat breed was developed in Kenya by crossbreeding between a Serval and a domestic cat.,animals,Savannah,Bengal,Maine Coon,Egyptian Mau,Savannah
897,This cat breed with curly hair appeared as a natural mutation in the United States.,animals,LaPerm,Selkirk Rex,LaPerm,Kurilian Bobtail,American Curl
898,"What cat breed, which originated in France, has thick waterproof grey fur, gold-colored eyes and large muscular body?",animals,Chartreux,Chartreux,Chausie,Pixie-bob,LaPerm
899,To what geographic area is the ostrich native?,animals,Africa,Asia,Africa,South America and Africa,Europe and Africa
900,The feathers of adult male ostriches are primarily of this color.,animals,Black,White,Gray,Brown,Black
901,How many toes do ostriches have?,animals,Two toes,One toe,Two toes,Tree toes,Five toes
902,What important internal organ does the ostrich lack?,animals,Gallbladder,Liver,Gallbladder,Spleen,All of these
903,What defense method do ostriches use when they are attacked or feel threatened?,animals,Kicking,All of these,They bury their heads in the sand.,Kicking,They use their wings to beat the enemy.
904,What does the diet of ostriches consist of?,animals,All of these,Insects,All of these,Seeds,Grass
905,What unusual anatomical feature does the male ostrich possess?,animals,It has a copulatory organ.,It has four testicles.,It has a copulatory organ.,It has a very small horn on its head.,All of these
906,Which is the largest subspecies of ostrich on the planet?,animals,Red-necked Ostrich,Southern Ostrich,Masai Ostrich,Red-necked Ostrich,Middle Eastern Ostrich
907,"Unlike other ostriches, this subspecies of ostrich has small feathers on its head.",animals,Masai Ostrich,Arabian Ostrich,Masai Ostrich,Somali Ostrich,North African Ostrich
908,Which subspecies of ostrich became extinct around 1966?,animals,Middle Eastern Ostrich,Red-necked Ostrich,Middle Eastern Ostrich,Southern Ostrich,Somali Ostrich
909,What are the anatomical differences between African elephants and Asian elephants?,animals,All of these,All of these,In the tusks,In the ears,In the body size
910,Which elephant subspecies is the largest on the planet?,animals,Savanna Elephant,Sri Lankan Elephant,Indian Elephant,Forest Elephant,Savanna Elephant
911,Which is the smallest elephant subspecies on the planet?,animals,Sumatran Elephant,Forest Elephant,Sumatran Elephant,Indian Elephant,Sri Lankan Elephant
912,What elephant species has two fingerlike projections at the end of its trunk?,animals,African Elephant,Asian Elephant,All of these,African Elephant,Sri Lankan Elephant
914,What does the diet of elephants mostly consist of?,animals,Grasses,Leaves,Twigs,Grasses,Tree bark
915,What statement is true about elephants mammary glands?,animals,They have one pair of mammary glands.,They have two pairs of mammary glands.,None of these,They have one pair of mammary glands.,They have only one mammary gland.
916,How long does the gestation period of elephants last?,animals,22 months,22 months,30 months,18 months,12 months
917,How do elephants protect their skin from the aggressive UV-radiation?,animals,By wallowing in mud,By wallowing in their own feces,By hiding in the shadow of thick branches,By wallowing in mud,None of these
