,question,category,answer,choices__001,choices__002,choices__003,choices__004
1826,Which statement about Richard Dreyfuss is false?,celebrities,Dreyfus is the only major actor to appear in films by both Spielberg and George Lucas.,Dreyfus quit movies in 2004.,Dreyfus is a Civil War enactor.,Richard Dreyfuss says the line This is no boating accident.,Dreyfus is the only major actor to appear in films by both Spielberg and George Lucas.
1827,This Dirty Dancing star died in September of 2009.,celebrities,Patrick Swayze,David Carradine,Patrick Swayze,Jerry Orbach,Jennifer Grey
1828,"This actor who died in 2009, used to be the co-star on the 70s television show The Streets of San Francisco.",celebrities,Karl Malden,Tommy Whitmore,Karl Malden,David Carradine,Ed McMahon
1829,This actor who died in 2009 is best known for co-starring in Burt Reynolds movies in the 70s and 80s.,celebrities,Dom DeLuise,Jerry Reed,Marvin Kaplan,Dom DeLuise,Henry Gibson
1830,"This actress who passed away in 2009, starred on the hit television show Maude.",celebrities,Bea Arthur,Rue McClanahan,Adrienne Barbeau,Bea Arthur,Betty White
1831,This famous news reporter died at the age of 92 in July of 2009.,celebrities,Walter Cronkite,Chuck Scarborough,Roger Grimsby,Walter Cronkite,Bill Beautel
1833,This former famous wrestling manager died in 2009.,celebrities,Capt. Lou Albano,Capt. Lou Albano,The Grand Wizard,Sir Oliver Humperdinck,Classie Fred Blassie
1834,This famous boxer died in July of 2009.,celebrities,Arturo Gatti,Randall Tex Cobb,Arturo Gatti,Scott LeDoux,Marvin Hagler
1835,This former pornographic actress died in April of 2009.,celebrities,Marilyn Chambers,Seka,Sharon Mitchell,Nina Hartley,Marilyn Chambers
1836,"This folk singing legend, who was a member of the group Peter, Paul and Mary, died in September of 2009.",celebrities,Mary Travers,Mary Travers,Peter Lemongello,Paul Stookey,Peter Yarrow
1837,"He was born March 24th, 1930.",celebrities,Steve McQueen,Steve McQueen,Clint Eastwood,Paul Newman,Robert Redford
1838,"He was born August 18th, 1936 and is the youngest of these four actors.",celebrities,Robert Redford,Paul Newman,Robert Redford,Steve McQueen,Clint Eastwood
1839,"He was born January 26, 1925 and is the oldest of these four actors.",celebrities,Paul Newman,Robert Redford,Steve McQueen,Clint Eastwood,Paul Newman
1840,He was born May 31st 1930 and is actually a Jr. (Junior).,celebrities,Clint Eastwood,Robert Redford,Paul Newman,Clint Eastwood,Steve McQueen
1841,"He is open about his membership in the Libertarian party and has said that he has a lot in common with Michael Moore. Both want to be given the opportunity to live in America free, but he says if Michael shows up on his doorstep with a camera, he will kill him.",celebrities,Clint Eastwood,Robert Redford,Steve McQueen,Clint Eastwood,Paul Newman
1842,"He turned down the role of Dirty Harry, that was later given to one of the other actors on the list below.",celebrities,Steve McQueen,Steve McQueen,Paul Newman,Robert Redford,Clint Eastwood
1843,"It was reported that he was 510 tall in all his bios, however it has been revealed that he wore lifts and was actually 57.",celebrities,Steve McQueen,Paul Newman,Robert Redford,Clint Eastwood,Steve McQueen
1844,One of these actors died of cancer caused by exposure to asbestos. He may have been exposed to asbestos during his auto racing career.,celebrities,Steve McQueen,Steve McQueen,Robert Redford,Paul Newman,Clint Eastwood
1845,"This actor was married to Barb, Ali and Neile.",celebrities,Steve McQueen,Robert Redford,Steve McQueen,Paul Newman,Clint Eastwood
1846,"He was married to Jackie, but then married Joanne. He was awarded the Academys life time achievement award in 1985.",celebrities,Paul Newman,Clint Eastwood,Robert Redford,Paul Newman,Steve McQueen
1847,He admits to being a liberal (like another one of these actors) and is proud of his political stance. 60+% of his federal political contributions have been to the Democratic party. He has also supported environmentalism and Native American rights.,celebrities,Robert Redford,Steve McQueen,Paul Newman,Robert Redford,Clint Eastwood
1848,Which actor starred in the 1968 movie Bullitt?,celebrities,Steve McQueen,Clint Eastwood,Robert Redford,Paul Newman,Steve McQueen
1849,This actor has two daughters named Amy and Shauna.,celebrities,Robert Redford,Robert Redford,Steve McQueen,Paul Newman,Clint Eastwood
1850,This actor was 19th on Richard Nixons enemy list and regards this as one of his highest achievements.,celebrities,Paul Newman,Paul Newman,Robert Redford,Clint Eastwood,Steve McQueen
1851,This actor played a brawler accompanied by an orangutan named Clyde.,celebrities,Clint Eastwood,Robert Redford,Paul Newman,Steve McQueen,Clint Eastwood
1852,Where was Jennifer Love Hewitt born?,celebrities,"Waco, Texas","Harker Heights, Texas","Waco, Texas","Los Angeles, California","New York City, New York"
1853,Jennifer Love Hewitt played in this 1984 Disney series.,celebrities,Kids Incorporated,Saved by the Bell,Kids Incorporated,As a Cartoon,Micky Mouse Club
1855,"The first name of Jennifer Love Hewitt was actually given by her older brother Todd, who picked it after this person.",celebrities,A blond girl he then had a crush on,"Jennifer Blake, because he loved her romantic novels",A blond girl he then had a crush on,"Jennifer Warnes, who he was a great fan of",His music teacher
1856,Jennifer Hewitt played Enrique Iglesias girlfriend in the video for this song.,celebrities,Hero,Be With You,Rhythm Divine,Hero,Escape
1857,"Jennifer Love Hewitt appeared in all, but one of these movies. Can you spot the odd one?",celebrities,Romeo And Juliet (1996),Sister Act 2 (1993),Romeo And Juliet (1996),I Still Know What You Did Last Summer (1998),Cant Hardly Wait (1998)
1858,"When Jennifer Love Hewitt was 4, she disappeared in a restaurant-dance hall and was found singing this song on the stage.",celebrities,Help Me Make It Through The Night,Help Me Make It Through The Night,For The Good Times,A Moment Of Forever,Broken Freedom Song
1860,Which one of these songs is not included in Jennifer Love Hewitts album Lets Go Bang (1995)?,celebrities,Rock the Roll,Cant Stand in the Way of Love,Everywhere I Go,Kiss Away from Heaven,Rock the Roll
1861,"Some of the characters this actor has played are Kalidor, Jack Slater and Howard Howie Langston. He also provided the voice of the White Wolf in Dr. Dolittle 2.",celebrities,Arnold Schwarzenegger,Arnold Schwarzenegger,Bruce Willis,Danny De Vito,Sylvester Stallone
1862,"Which one of these characters has not been played by Meg Ryan? If she has played all of them, which one of them dis she play last?",celebrities,Carly Jones,Donna Caldwell,Kathleen Kelly,Catherine Boyd,Carly Jones
1863,"In a movie from 1993, Tom Cruise played a young and very promising lawyer. What was the first name of his character?",celebrities,Mitch,John,Mitch,Charlie,Ray
1864,Which one of these pairs actor- character he has played is wrong?,celebrities,Samuel Jackson- Xander Cage,Denzel Washington- Coach Herman Boone,Julia Roberts- Maggie Carpenter,Bruce Willis- David Dunn,Samuel Jackson- Xander Cage
1865,"In this movie David Duchovny played Dr. Ira Kane, Julianne Moore played  Dr. Allison Reed and Orlando Jones, appeared as Prof. Harry Phineas Block.",celebrities,Evolution,The Crazy Professor,Zoolander,Doctor Dolittle,Evolution
1867,"Which one of these characters has been played by Robert De Niro?  If he has played more than one of the characters, which one did Robert play first?",celebrities,Detective Eddie Flemming,Detective Skinner,Jeff Talley,Russ Richards,Detective Eddie Flemming
1868,Adam Sanlder was Robert Boucher Jr. in this movie. His character suddenly discovers his talent- tackling people much bigger than him.,celebrities,The Waterboy,Billy Madison,Mixed Nuts,The Waterboy,Mr. Deeds
1869,Which one of these pairs character- movie is wrong?,celebrities,Malcolm Crowe- Signs,Sergeant Martin Riggs- Lethal Weapon,Willy Wonka- Charlie and the Chocolate Factory,Malcolm Crowe- Signs,Marty Martini Blank- Mean Creek
1870,"In a movie from 1992, Keanu Reeves played Jonathan Harker- a young lawyer who is assigned to a gloomy village in eastern Europe. What was the title of the movie?",celebrities,Dracula,The Devils Advocate,Dracula,Speed,The Firm
1871,"To many people he epitomized the 1950s rebel. He appeared in only eight movies but he was a true  star. Who was this actor who starred in Giant, Rebel Without a Cause and East of Eden?",celebrities,James Dean,James Dean,Joseph Cotten,Sal Mineo,Richard Farnsworth
1872,He had a great voice. He was born in Wales and spoke the  Welsh language. He was terrific in the film  version of  1984. He was nominated for six Oscars but  won none. Who was this man who was twice married to a very famous actress?,celebrities,Richard Burton,Peter OToole,Richard Burton,Robert Shaw,Peter Sellers
1873,"Some of the movies this actor starred in were Bullitt, The Magnificent Seven, Papillon, and The Great Escape. He was nominated for an Oscar for his part in The Sand Pebbles.",celebrities,Steve McQueen,Charles Bronson,Steve McQueen,Martin Landau,Yul Brynner
1874,"This great actor was a close friend of Marilyn Monroe and Liz Taylor. He appeared in From Here to Eternity, Freud, The Misfits and Red River. Who was this Omaha-born actor who was nominated for  four Oscars but never won one?",celebrities,Montgomery Clift,Malcolm Little,Montgomery Clift,Marlon Brando,Henry Fonda
1875,"This actor was born in Limerick, Ireland. He appeared in A Man Called Horse, Camelot, The Field, and This Sporting Life. He was nominated for an Oscar for each of the last two movies on the list.",celebrities,Richard Harris,Richard Burton,Peter OToole,Richard Harris,Telly OShea
1876,"He was born in Lancashire, England. His best known movies include: A Man for All Seasons, The Sting, The Deep,The Lavender Hill Mob, From Russia with Love, and Black Sunday. He starred on several TV series including The Buccaneers and William Tell. Who was this wonderful actor who left us in 1978?",celebrities,Robert Shaw,Peter OToole,Robert Shaw,Albert Finney,Richard Harris
1877,"This American-born actor can been seen in Citizen Kane, The Magnificent Ambersons, The Third Man, Petula, and Tora, Tora, Tora.",celebrities,Joseph Cotten,James Mason,Joseph Cotten,Orson Welles,Robert Shaw
1878,"He was best known for his role on TVs Shogun but he also starred in Rashomon, The Seven Samurai and Throne of Blood.",celebrities,Toshiro Mifune,Clyde Kurasawa,Toshiro Mifune,James Ito,Akira Kurasawa
1879,"Which one of these actors plays Detective Grissom on the original hit series, C.S.I.?",celebrities,William Peterson,John Pankow,William Peterson,John Turturro,Willem Dafoe
1881,"Which of these actors played a strong supporting role in Oliver Stones 1986 film, Platoon?",celebrities,Willem DaFoe,John Turturro,William Peterson,Willem DaFoe,John Goodman
1882,Which of these great talents is also a trained Shakespearean Actor?,celebrities,William Peterson,John Turturro,William Peterson,Willem Dafoe,William Friedkin
1883,Which of these talented actors hails from the city of Chicago?,celebrities,William Peterson,William Peterson,Barton Fink,Willem Dafoe,John Turturro
1884,"John Turturro, William Peterson and Willem Dafoe played opposite each other in a 1985 movie which, while critically acclaimed, did poorly at the box office. Name the movie.",celebrities,To Live and Die in LA,8 Million ways to Die,To Live and Die in LA,Goonies,Manhunter
1885,"This actor starred in a 1996 comedy, where he plays a character named Al Fountain, a man coming to terms with a mid-life crisis. Give the actor and the film.",celebrities,Box of Moonlight - John Turturro,Moon Over Parador - William Peterson,Moon over Miami - Willem Dafoe,Blue Moon - Bruce Willis,Box of Moonlight - John Turturro
1887,What is John Lennons date of birth?,celebrities,October 9th 1940,December 8th 1940,September 8th 1940,October 9th 1940,November 9th 1940
1888,What is the name of the aunt with whom Lennon lived as a youth?,celebrities,Mimi,Julia,Ada,Mimi,Minnie
1889,What is the name of the famous building in New York in which John Lennon lived until his death?,celebrities,Dakota Building,Dakota Building,Nebraska Building,Wyoming Building,Nevada Building
1890,In which city did John Lennon and Yoko Onos first bed-in for peace take place?,celebrities,Amsterdam,New York,Berlin,Paris,Amsterdam
1891,"Which song are the following lyrics taken from: Everybodys talking about ministers, sinister, banisters and canisters?",celebrities,Give Peace a Chance,Give Peace a Chance,Instant Karma,Imagine,Cold Turkey
1892,"Lennons handwritten lyrics for which Beatles song sold for Â£600,000 at an auction in London in 2005?",celebrities,All You Need is Love,Come Together,All You Need is Love,I Want to Hold Your Hand,Strawberry Fields
1893,What is the name of the album released by John Lennon and Yoko Ono just weeks before Lennons murder?,celebrities,Double Fantasy,Double Fantasy,Some Time in New York City,Rock n Roll,Mind Games
1894,What is the name of John Lennons first wife?,celebrities,Cynthia,Cilla,Celia,Cynthia,Carolyn
1896,"In 1956, Elizabeth Montgomery married which actor?",celebrities,Gig Young,Frankie Avalon,Troy Donahue,Rock Hudson,Gig Young
1897,"The TV series Bewitched, starring Elizabeth Montgomery, debuted on ABC in what year?",celebrities,1964,1964,1962,1960,1966
1898,"Elizabeth Montgomery, the star of Bewitched, was married in real life to which person involved with the show?",celebrities,The Director/Producer of the show,The Network Executive in charge of the show,The Creator of the show,The Director/Producer of the show,The Male Star of the show
1901,"The show Bewitched, starring Elizabeth Montgomery, ran for how many seasons?",celebrities,8,9,8,7,10
1902,"What was the first TV movie in which Elizabeth Mongomery starred, after the end of the TV show Bewitched?",celebrities,The Victim,The Legend of Lizzie Borden,The Victim,A Case Of Rape,The Rules Of Marriage
1903,In the mini-series The Awakening Land Elizabeth Montgomery co-starred with which of these actors?,celebrities,All of these,"Jane Seymour (Doctor Quinn, Medicine Woman)",All of these,William H. Macy (ER),Hal Holbrook (Designing Women)
1904,"In the movie Sins of the Mother, Elizabeth Montgomery played the mother of a sick, sadistic, criminal man. On what book was this movie based?",celebrities,Son. A Psychopath And His Victims,Son. A Psychopath And His Victims,Protected By Family,The Ted Bundy Story,A Man And His Victims
1905,Brad Pitt started an affair with Angelina Jolie during the filming of what movie?,celebrities,Mr.  Mrs. Smith,Alexander,Mr.  Mrs. Smith,Shark Tale,Lara Croft: Tomb Raider
1906,What is the color of Brad Pitts eyes?,celebrities,blue,brown,green,blue,hazel
1910,What actress co-stars with Brad Pitt in the romantic comedy The Mexican?,celebrities,Julia Roberts,Jennifer Aniston,Jennifer Garner,Angelina Jolie,Julia Roberts
1913,"Angelina Jolie and Brad Pitts adopted child, Zahara Marley Jolie-Pitt is from what country?",celebrities,Ethiopia,Ethiopia,Zambia,Indonesia,Cambodia
1915,What actress would answer when one dialed BUtterfield 8 in a movie with a tagline Most desirable woman in town and the easiest to find.?,celebrities,Elizabeth Taylor,Lana Turner,Tuesday Weld,Elizabeth Taylor,Kim Novak
1916,"In this movie Joe Buck bragged, Well, sir, I aint a freal cowboy. But Im one helluva a stud.\nWhat is the only X-rated movie to win an Oscar for Best Picture?",celebrities,Midnight Cowboy,My Heroes Have Always Been Cowboys,Coming Home,Midnight Cowboy,Klute
1917,"A working girl needs her beauty sleep. According to the title of this 1960 Greek film starring Melina Mercouri, one could kiss her any day of the week EXCEPT on her day of rest. What day of the week was Mercouris day of rest?",celebrities,Sunday,Friday,Monday,Saturday,Sunday
1918,"What actress won the 2003 Oscar for her portrayal of Aileen Wuornos, a former prostitute and serial killer?",celebrities,Charlize Theron,Hallie Berry,Christina Ricci,Charlize Theron,Kate Blanchett
1920,Which one of these couples did not marry in Las Vegas?,celebrities,Britney Spears and Kevin Federline,Axl Rose and Erin Everly,Kelly Ripa and Mark Consuelos,Britney Spears and Kevin Federline,Carmen Electra and Dennis Rodman
1921,Lisa Marie Presley was married for the shortest time to which one of the following?,celebrities,Nicolas Cage,Nicolas Cage,Michael Jackson,Danny Keough,"Michael Lockwood,"
1922,What actor was Michelle Phillips married to for 8 days?,celebrities,Dennis Hopper,Jon Voight,Dennis Hopper,Christopher Walken,Burt Reynolds
1924,This actress had an invalid marriage which lasted one day. The marriage was annulled as she hadnt yet divorced hubby #7.,celebrities,Zsa Zsa Gabor,Mia Farrow,Phyllis Diller,Elizabeth Taylor,Zsa Zsa Gabor
1925,The doomed nuptials of Darva Conger and Rick Rockwell took place on what TV show?,celebrities,Who Wants to Marry a Multi-millionaire?,Who Wants to Marry a Multi-millionaire?,Who Wants to Marry a Millionaire?,Who Wants to be a Millionaire?,Who Wants to Get Married?
1927,"This song was the first single of Hilary Duffs second album, entitled Hilary Duff.",celebrities,Fly,Our Lips Are Sealed,So Yesterday,Fly,Girl Can Rock
1930,"Hilary Duff, who gained prominence in the television show Lizzie McGuire, was born on what date?",celebrities,"September 28, 1987","September 28, 1987","December 14, 1999","September 10, 1978","December 4, 1988"
1931,"How old was Hilary Duff when she starred as the young witch, Wendy in the movie Casper Meets Wendy?",celebrities,11,13,14,11,22
1932,What is Vin Diesels real name?,celebrities,Mark Sinclair Vincent,Vincent Sinclair Diesel,Mark Sinclair Vincent,Mark Diesel,Vincent Mark
1933,Which character from the sci fi movie Pitch Black was portrayed by Vin Diesel?,celebrities,Richard B. Riddick,Greg Owens,Ghost,Agent Johns,Richard B. Riddick
1936,"What was special about the town of Columbia, MD where actor Edward Norton Jr. grew up?",celebrities,"It was created by his maternal grandfather, urban planner James Rouse.",It banned cable television.,"It was created by his maternal grandfather, urban planner James Rouse.","It was created by Edmund Bacon, the father of his friend Kevin Bacon.",It was famous for its nude theater company.
1937,"Singer Etta James is not a billiards player, but she is very aware of the exploits of legendary pool shark Minnesota Fats. Why?",celebrities,She believes that Fats was her father.,None of these,Her father lost the family home in a gambling debt to Minnesota Fats.,"As a child, she appeared as an extra in the pool movie The Hustler.",She believes that Fats was her father.
1938,"What do the sons of Henry Kissinger, Gabriel Garcia Marquez and former New York Times executive editor Max Frankel have in common?",celebrities,Each of them works as a TV/film director or producer.,"They attended the same prep school in the suburbs of Washington, DC.",Their nicknames are all Stinky.,They were fraternity brothers in college.,Each of them works as a TV/film director or producer.
1939,Why does U.S. Congressman Rahm Emanuel (D-Illinois) have a keen interest in one major character on the HBO series Entourage?,celebrities,"His brother, Hollywood agent Ariel Emanuel, is the model for the agent character  Arie.",He worked his way through law school as a parking valet  for Hollywood celebs.,"His brother, Hollywood agent Ariel Emanuel, is the model for the agent character  Arie.",His mother runs the shows craft services table.,His actress daughter plays character Vinnie Chases press agent.
1940,What does President George W. Bush have in common with the 16th-century religious dissenter Anne Marbury Hutchinson?,celebrities,Both are descended from an Irish warlord named Strongbow.,None of these,Both are distant relatives of the Kennedys,Both are distant relatives of the Nixons.,Both are descended from an Irish warlord named Strongbow.
1941,How is the movie Casablanca linked to the end of the Curse of the Bambino and the Boston Red Sox World Series victory in 2004?,celebrities,The brothers who wrote Casablanca are related to the general manager of the Red Sox.,"Much of  Casablanca was originally shot in Florida, spring home of  the Red Sox.",The brothers who wrote Casablanca are related to the general manager of the Red Sox.,The director of  Casablanca also directed Field of Dreams with Kevin Costner.,"David Papi Ortiz, the Red Sox slugger, who grew up in the Dominican Republic, learned to speak English by watching the movie on tape."
1942,"What crossed paths connect Uma Thurman with psychologist Timothy Leary, the notorious Pied Piper of LSD, who died in 1996?",celebrities,Leary was once married to Umas mother.,Timothy Leary was the godfather of Uma Thurman and Winona Ryder.,Leary was once married to Umas mother.,"Leary and Umas father, a Buddhist-scholar, shared the same mantra.",Learys stepson is Ethan Hawke
1943,"How are actor William Hurt and Henry Luce, founder of the Time-Life publishing empire, linked?",celebrities,"Hurts mother was married to Luces son, Henry Luce III.",They were both once part of the trivia team NYs Strongest.,"Hurts former wife, actress Mary Beth Hurt, is Luces granddaughter.","Hurts mother was married to Luces son, Henry Luce III.",They both dated Marlee Matlin.
1944,"What do The Alamo, The Exorcist, and the classic TV series The Honeymooners have in common?",celebrities,"Relatives Jason Patric, Jason Miller, Jackie Gleason","Relatives Davy Crockett, William Friedkin and Audrey Meadows","Relatives Jason Patric, Jason Miller, Jackie Gleason",They all include characters named Ed Norton.,"Relatives Billy Bob Thornton, Ellen Burstyn, Art Carney"
1945,"Who or what is the common thread among Bernie Williams, Hank Williams, Jr. and Vanessa L. Williams?",celebrities,Only their last names,Only their last names,They all played outfield professional baseball.,Their skill in playing classical Spanish guitar pieces,Theyve all served as judges in the Miss America Pageant.
1946,This actors birth name was Etienne Pelissier Jacques de Bujac. Can you guess his stage name?,celebrities,Bruce Cabot,Tyrone Power,Bruce Cabot,Clark Gable,Ward Bond
1947,"My favorite health club is the International House of Pancakes. Because no matter how much you weigh there will always be someone there who weighs 150 pounds more than you will ever weigh.\nThese words belong to what Jewish-American stand-up comedian, whose autobiography is entitled Nothings Sacred?",celebrities,Lewis Black,Lewis Black,Jim Hannigan,Jeff Foxworthy,Chris Rock
1948,"This comedian and actor, one of the favourite guests of Howard Stern and Conan OBrien, appeared in the movies Robin Hood: Men in Tights, Blue Streak, and Half Baked.",celebrities,Dave Chappelle,Craig Charles,Tom Cool,Dave Chappelle,Chris Rock
1949,"This comedian, born  in 1955 in Flint, Michigan, starred in the movies The King of Comedy, Hudson Hawk and The Apocalypse. She is also the author of the book Confessions of a Pretty Lady .",celebrities,Sandra Bernhard,Roseanne Barr,Ellen Degeneres,Jo Brand,Sandra Bernhard
1950,"This Cambridge University graduate quit a job with Shell Oil in England to become a stand-up comedian. He was recruited by the Brittish Channel 4, to host the game shows Distraction and Your Face or Mine?",celebrities,Jimmy Carr,Jimmy Carr,Craig Charles,Craig Ferguson,Jackie Danielson
1951,"This tall comedian, a regular guest on the show Tough Crowd with Colin Quinn, acted in the 1994 ABC sitcom, All-American Girl. She also won 2 Emmy Awards for writing and producing The Rosie ODonnell Show.",celebrities,Judy Gold,Elon Gold,Elayne Boosler,David Brenner,Judy Gold
1952,"This comedian, who starred in Ten Things I Hate About You as Dr. Walter Stratford, made the following observation about the difference between sexes:  You have nooo idea... the difference in sex drive, between a man and woman, is like the difference between shooting a bullet and throwing it!",celebrities,Larry Miller,Jim Hannigan,Elon Gold,Andy Richter,Larry Miller
1953,"This comedian, born in Mexico but raised in East L.A., starred in films such as Crocodile Dundee in Los Angeles,  A Cinderella Story and The Worlds Fastest Indian. Many of his comedy specials focus on serious issues of the Latino community.",celebrities,Paul Rodriguez,Carlos Mencias,Paul Rodriguez,Pablo Hernandez,Paul Provenzano
1954,"This comedian, author of the humorous book Yeah I Said It, won the 2001 award for Funniest Female Stand-Up Comic. She is known for her blunt observations on current events and on issues such as the difference between the sexes and races.",celebrities,Wanda Sykes,Shirley Hemphill,Retta,Jan McInnis,Wanda Sykes
1955,"This Jewish-American comedian, who studied drama at Yale University, became popular in the 1970s, with his extensive routines about the Watergate scandal.",celebrities,Robert Klein,Robert Klein,Robert Sclimmel,George Carlin,Chris Rock
1956,This country was known to the Romans as Bactria and is today an Islamic republic. Its capital is Kabul.,celebrities,Afghanistan,Afghanistan,Albania,Algeria,Armenia
1957,"This country, called Illyria by the Romans, is a republic located on the coast of the Adriatic Sea. Its capital is Tirana.",celebrities,Albania,Afghanistan,Argentina,Algeria,Albania
1958,This country was known to the Romans as Numidia. Today it is the second largest country in Africa. Its capital is Algiers.,celebrities,Algeria,Angola,Afghanistan,Algeria,Argentina
1959,This country and its capital have the same name. It is located between Spain and France in the Pyrenees Mountain Range.,celebrities,Andorra,Angola,Andorra,Armenia,Austria
1960,"This country, located in Africa along the Atlantic coast, has a capital, named Luanda.",celebrities,Angola,Angola,Armenia,Antigua and Barbuda,Andorra
1961,This country is located in the Caribbean Sea and has a capital named Saint Johns.,celebrities,Antigua and Barbuda,Argentina,Armenia,Antigua and Barbuda,Andorra
1962,This countrys capital is Buenos Aires. It is the second largest country in South America.,celebrities,Argentina,Andorra,Antigua and Barbuda,Austria,Argentina
1963,This country is located in the Caucasus Mountains in Asia and its capital is Yerevan.,celebrities,Armenia,Algeria,Armenia,Afghanistan,Andorra
1964,This country is located down under between the Pacific and Indian Oceans. Its capital is Canberra.,celebrities,Australia,Argentina,Armenia,Australia,Angola
1965,This country is located between the Danube river and the Alps in Europe. Its capital is Vienna.,celebrities,Austria,Armenia,Andorra,Austria,Australia
1966,"This country, located in Asia along the western shore of the Caspian Sea, has a capital named Baku.",celebrities,Azerbaijan,Azerbaijan,Armenia,Angola,Andorra
1967,In 1917 Charlie Chaplin became the first male actor to ever earn one million dollars as part of a deal with which company?,celebrities,First National Exhibitors Circuit,Paramount Pictures,Keystone Film Company,Warner Bros.,First National Exhibitors Circuit
1968,"Lita Grey, Charlie Chaplins second wife, played the role of a tempting angel in which Chaplins movie?",celebrities,The Kid,Dogs Life,City Lights,The Circus,The Kid
1969,Which song composed by Charlie Chaplin was covered by Nat King Cole?,celebrities,Smile,Let There Be Love,Paradise,Smile,Poinciana
1970,"This 1940 movie, nominated for an Academy Award for Best Picture, was the first dialogue film in Charlie Chaplins career.",celebrities,The Great Dictator,Modern Times,The Great Dictator,Limelight,Monsieur Verdoux
1971,"This actor, who starred in the first movie version of The Mark of Zorro, co-founded the United Artists Corporation, together with Charlie Chaplin, Mary Pickford and D.W. Griffith.",celebrities,Douglas Fairbanks,Robert McKim,Douglas Fairbanks,"Noah Beery, Sr.",Sidney De Gray
1972,The movie The Circus brought Charlie Chaplin his first honorary Oscar in what year?,celebrities,1929,1928,1930,1973,1929
1973,"Limelight, the only movie in which Buster Keaton and Charlie Chaplin appear together, was shot in what year?",celebrities,1952,1957,1952,1950,1951
1974,"This 1925 silent film stars Charlie Chaplin as the Little Tramp, who goes to the Klondike in order to find gold.",celebrities,The Gold Rush,A Woman in Paris,The Kid,The Gold Rush,City Lights
1975,"This 1931 movie, starring Virginia Cherill as a blind girl, was Chaplins best film according to Woody Allen.",celebrities,City Lights,The Kid,A Woman of Paris,City Lights,The Pilgrim
1976,"Charlie Chaplin died on Christmas Day, 1977 in which Swiss city?",celebrities,Vevey,Vevey,Orbe,Morges,Vaud
1977,Which of these statements about Australia is not true?,celebrities,They are all true.,Australian law imposes fines on people who do not vote.,They are all true.,Australia has approximately nine sheep for every one person.,Australia is the smallest continent
1979,This is the smallest of all Australian states.,celebrities,Tasmania,New South Wales,Tasmania,South Australia,Victoria
1980,"Lake Eyre, the largest lake in Australia is also the lowest point, located at approximately this depth below sea level.",celebrities,15 m (50 ft),15 m (50 ft),240 (787 ft),128 (420 ft),71 (233 ft)
1982,The first radio station in Australia was launched in this year.,celebrities,1912,1901,1925,1934,1912
1984,Australias national flag is one of only two in the world to feature a seven-pointed star. The other one belongs to this country.,celebrities,Jordan,Jordan,Albania,New Zealand,Cuba
1985,The Fondas are related to which former news anchor?,celebrities,Tom Brokaw,Peter Jennings,Tom Brokaw,Walter Cronkite,Dan Rather
1986,Peter Fondas portrayal in Easy Rider delved in part into his real mothers death. How did she die?,celebrities,suicide,alcoholism,suicide,heart attack,motorcycle accident
1987,This Fonda starred in the movie Wooly Boys.,celebrities,Peter,Francis,Jane,Henry,Peter
1988,Henry and Jane Fonda appeared together in On Golden Pond co-starring with which leading actress?,celebrities,Katherine Hepburn,Katherine Hepburn,Katherine Ross,Florence Henderson,Shirley McClaine
1989,What is Jane Fondas birth name?,celebrities,Lady Jayne Seymour Fonda,Lady Jayne Seymour Fonda,Cassandra Jane Fonda,Katherine Janet Fonda,Jane Elizabeth Fonda
1990,What movie brought Henry Fonda his first Golden Globe Award?,celebrities,On Golden Pond,The Grapes of Wrath,12 Angry Men,The Cheyenne Social Club,On Golden Pond
1991,Jane Fonda was an outspoken critic of which war?,celebrities,The Vietnam war,WWI,The Vietnam war,The Korean war,WWII
1992,This granddaughter of Henry Fondas is an actress herself.,celebrities,Bridget,Katherine,Bridget,Bethany,Candace
1993,Henry Fonda had a lifelong friendship with which of these actors?,celebrities,Jimmy Stewart,John Wayne,Gregory Peck,Johnny Carson,Jimmy Stewart
1994,How many times was Henry Fonda married?,celebrities,5,5,2,3,4
1995,How old was Angelina Jolie when she started to cut herself along with her boyfriend?,celebrities,14,15,16,14,13
1997,Where was Angelina Jolie born?,celebrities,"Los Angeles, CA","Long Beach, CA",London,"Los Angeles, CA",Canada
2000,"As a child, Angelina Jolie wanted to become what?",celebrities,funeral Director,funeral Director,ballet dancer,bunny,fairy
2001,"Right after filming the movie Gia, Angelina Jolie quited acting for how long?",celebrities,6 months,7 months,8 months,6 months,2 months
2002,"The letter H, tattooed on Angelina Jolies left wrist, stands for what?",celebrities,both Haven and Hutton,Hungry,both Haven and Hutton,Heaven,Hutton
2003,Which of these actors was originally offered the role of Detective John Kimble in the 1990 comedy Kindergarten Cop?,celebrities,Bill Murray,Bill Murray,Chevy chase,Clint Eastwood,Chuck Norris
2004,The 1996 film Jingle All the Way was based on the obsession with these toys in the 80s?,celebrities,Cabbage Patch Dolls,Cabbage Patch Dolls,Beanie Babies,Nintendo Entertainment System,Rubiks Cube
2005,What is the name of the toy that Arnold Schwarzeneggers character is after in the 1996 comedy Jingle All the Way?,celebrities,Turbo Man,Kung Fu Gangster,Ultraman,Turbo Man,Space Ranger
2006,Arnold Schwarzenneger and Danny DeVito were originally offered to star in this 1991 film before starring in Twins.,celebrities,Suburban Commando,Uncle Buck,Mr. Nanny,Lethal Weapon,Suburban Commando
